Day,Area,Price1,Band,Demand,Excess Demand,Provisional Price,Price Increment Applicable,lat,long,Price
3,Himachal Pradesh,1.8,1800,22,-29,1.8,0,31.79,77.1,1.44
3,Karnataka,37,1800,8,-1,37,0,15,75,29.6
3,Kerala,15,1800,0,-5,0,0,10,76.25,12
3,Kolkata,15.03,1800,0,-35,14.74,0,22.56263,88.36304,12.024
3,North East,2.2,1800,0,-42,0,0,28,95,1.76
3,Odisha,4.6,1800,50,-31,4.6,0,26,94.2,3.68
3,Punjab,14.34,1800,0,-8,14.2,0,30.8,75.5,11.472
3,Rajasthan,12,1800,0,-52,0,0,27,74,9.6
3,Tamil Nadu,45,1800,50,-45,45,0,11,78,36
3,Uttar Pradesh E,19.4,1800,0,-21,0,0,26,82,15.52
3,Uttar Pradesh W,19,1800,0,-11,0,0,28,80,15.2
1,Andhra Pradesh,1375,2100,0,-1,0,0,16,80,275
1,Assam,164.82,2100,1,0,156.85,1.56,26.2006043,92.9375739,32.964
1,Delhi,3315,2100,0,-1,0,0,28.38,77.12,663
1,Gujarat,1302.9,2100,0,-1,1290,0,23,72,260.58
1,Haryana,232.3,2100,0,-1,230,0,29.3,76,46.46
1,Karnataka,1610,2100,0,-1,0,0,15,75,322
1,Kerala,594.45,2100,0,-1,588.57,0,10,76.25,118.89
1,Kolkata,583.74,2100,0,-1,577.97,0,22.56263,88.36304,116.748
1,Madhya Pradesh,461.31,2100,0,-1,456.75,0,23.3,80,92.262
1,Maharashtra,1520.05,2100,0,-1,1505,0,20,76,304.01
1,Mumbai,3245,2100,0,-1,0,0,19.07283,72.88261,649
1,North East,45.45,2100,1,0,43.26,0.43,29,95,9.09
1,Odisha,182.06,2100,1,0,180.26,1.8,26,94.2,36.412
1,Rajasthan,509.06,2100,1,0,465.92,4.65,27,74,101.812
1,Tamil Nadu,1737.2,2100,0,-1,1720,0,11,78,347.44
1,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,26,82,91.202
1,Uttar Pradesh W,520.15,2100,0,-1,515,0,28,80,104.03
2,Andhra Pradesh,1375,2100,0,-1,0,0,16,80,275
2,Assam,164.82,2100,1,0,164.82,1.64,26.2006043,92.9375739,32.964
2,Delhi,3315,2100,0,-1,0,0,28.38,77.12,663
2,Gujarat,1302.9,2100,0,-1,1290,0,23,72,260.58
2,Haryana,232.3,2100,0,-1,230,0,29.3,76,46.46
2,Karnataka,1610,2100,0,-1,0,0,15,75,322
2,Kerala,594.45,2100,0,-1,588.57,0,10,76.25,118.89
2,Kolkata,583.74,2100,0,-1,577.97,0,22.56263,88.36304,116.748
2,Madhya Pradesh,461.31,2100,0,-1,456.75,0,23.3,80,92.262
2,Maharashtra,1520.05,2100,0,-1,1505,0,20,76,304.01
2,Mumbai,3245,2100,0,-1,0,0,19.07283,72.88261,649
2,North East,45.45,2100,1,0,45.45,0.45,29,95,9.09
2,Odisha,182.06,2100,0,-1,180.26,0,26,94.2,36.412
2,Rajasthan,509.06,2100,1,0,509.06,5.09,27,74,101.812
2,Tamil Nadu,1737.2,2100,0,-1,1720,0,11,78,347.44
2,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,26,82,91.202
2,Uttar Pradesh W,520.15,2100,0,-1,515,0,28,80,104.03
3,Andhra Pradesh,1375,2100,0,-1,0,0,16,80,275
3,Assam,168.12,2100,0,-1,166.46,0,26.2006043,92.9375739,33.624
3,Delhi,3315,2100,0,-1,0,0,28.38,77.12,663
3,Gujarat,1302.9,2100,0,-1,1290,0,23,72,260.58
3,Haryana,232.3,2100,0,-1,230,0,29.3,76,46.46
3,Karnataka,1610,2100,0,-1,0,0,15,75,322
3,Kerala,594.45,2100,0,-1,588.57,0,10,76.25,118.89
3,Kolkata,583.74,2100,0,-1,577.97,0,22.56263,88.36304,116.748
3,Madhya Pradesh,461.31,2100,0,-1,456.75,0,23.3,80,92.262
3,Maharashtra,1520.05,2100,0,-1,1505,0,20,76,304.01
3,Mumbai,3245,2100,0,-1,0,0,19.07283,72.88261,649
3,North East,48.21,2100,1,0,48.21,0.48,29,95,9.642
3,Odisha,182.06,2100,0,-1,180.26,0,26,94.2,36.412
3,Rajasthan,540.36,2100,1,0,540.36,5.4,27,74,108.072
3,Tamil Nadu,1737.2,2100,0,-1,1720,0,11,78,347.44
3,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,26,82,91.202
3,Uttar Pradesh W,520.15,2100,0,-1,515,0,28,80,104.03
